year,reg,sex,x,mx
2003,111,F,50,0.008003
2003,111,F,55,0.02332
2003,111,F,60,0.015605
2003,111,F,65,0.037921
2003,111,F,70,0.061329
2003,111,F,75,0.077016
2003,111,F,80,0.125714
2003,111,F,85,0.149733
2003,1119,M,0,0.014839
2003,1119,M,1,0.000977
2003,1119,M,5,0.000624
2003,1119,M,10,0.000554
2003,1119,M,15,0.00194
2003,1119,M,20,0.004646
2003,1119,M,25,0.006745
2003,1119,M,30,0.009552
2003,1119,M,35,0.013641
2003,1119,M,40,0.020515
2003,1119,M,45,0.026785
2003,1119,M,50,0.036555
2003,1119,M,55,0.043182
2003,1119,M,60,0.061981
2003,1119,M,65,0.067652
2003,1119,M,70,0.098329
2003,1119,M,75,0.124049
2003,1119,M,80,0.174196
2003,1119,M,85,0.271974
2003,1119,F,0,0.011395
2003,1119,F,1,0.000835
2003,1119,F,5,0.000555
2003,1119,F,10,0.000338
2003,1119,F,15,0.000809
2003,1119,F,20,0.000999
2003,1119,F,25,0.001563
2003,1119,F,30,0.002636
2003,1119,F,35,0.003199
2003,1119,F,40,0.004566
2003,1119,F,45,0.007489
2003,1119,F,50,0.009149
2003,1119,F,55,0.012159
2003,1119,F,60,0.01857
2003,1119,F,65,0.025865
2003,1119,F,70,0.044625
2003,1119,F,75,0.072956
2003,1119,F,80,0.124661
2003,1119,F,85,0.246301
2003,1127,M,0,0.018509
2003,1127,M,1,0.000564
2003,1127,M,5,0.000654
2003,1127,M,10,0.000722
2003,1127,M,15,0.001997
2003,1127,M,20,0.004198
2003,1127,M,25,0.008972
2003,1127,M,30,0.011836
2003,1127,M,35,0.013898
2003,1127,M,40,0.01914
2003,1127,M,45,0.026012
2003,1127,M,50,0.034876
2003,1127,M,55,0.041104
2003,1127,M,60,0.056735
2003,1127,M,65,0.069405
2003,1127,M,70,0.092001
2003,1127,M,75,0.117467
2003,1127,M,80,0.146411
2003,1127,M,85,0.231351
2003,1127,F,0,0.012639
2003,1127,F,1,0.000786
2003,1127,F,5,0.000297
2003,1127,F,10,0.000396
2003,1127,F,15,0.001103
2003,1127,F,20,0.00146
2003,1127,F,25,0.003002
2003,1127,F,30,0.002992
2003,1127,F,35,0.004767
2003,1127,F,40,0.00575
2003,1127,F,45,0.008421
2003,1127,F,50,0.011964
2003,1127,F,55,0.016184
2003,1127,F,60,0.020206
2003,1127,F,65,0.027193
2003,1127,F,70,0.045695
2003,1127,F,75,0.07759
2003,1127,F,80,0.113444
2003,1127,F,85,0.224007
2003,1141,M,0,0.010074
2003,1141,M,1,0.000923
2003,1141,M,5,0.000455
2003,1141,M,10,0.000867
2003,1141,M,15,0.002004
2003,1141,M,20,0.004837
2003,1141,M,25,0.008275
2003,1141,M,30,0.010409
2003,1141,M,35,0.014021
2003,1141,M,40,0.021038
2003,1141,M,45,0.028118
2003,1141,M,50,0.038416
2003,1141,M,55,0.044507
2003,1141,M,60,0.059901
2003,1141,M,65,0.069205
2003,1141,M,70,0.095002
2003,1141,M,75,0.122307
2003,1141,M,80,0.167316
2003,1141,M,85,0.23203
2003,1141,F,0,0.008682
2003,1141,F,1,0.000578
2003,1141,F,5,0.000346
2003,1141,F,10,0.000328
2003,1141,F,15,0.000784
2003,1141,F,20,0.001313
2003,1141,F,25,0.002231
2003,1141,F,30,0.003083
2003,1141,F,35,0.004518
2003,1141,F,40,0.005749
2003,1141,F,45,0.008819
2003,1141,F,50,0.01268
2003,1141,F,55,0.015752
2003,1141,F,60,0.020821
2003,1141,F,65,0.027133
2003,1141,F,70,0.045786
2003,1141,F,75,0.073964
2003,1141,F,80,0.126131
2003,1141,F,85,0.234738
2003,1147,M,0,0.010975
2003,1147,M,1,0.00055
2003,1147,M,5,0.000288
2003,1147,M,10,0.000368
2003,1147,M,15,0.001383
2003,1147,M,20,0.002854
2003,1147,M,25,0.005217
2003,1147,M,30,0.007174
2003,1147,M,35,0.011798
2003,1147,M,40,0.017683
2003,1147,M,45,0.023922
2003,1147,M,50,0.036929
2003,1147,M,55,0.046907
2003,1147,M,60,0.060122
2003,1147,M,65,0.074331
2003,1147,M,70,0.114001
2003,1147,M,75,0.141846
2003,1147,M,80,0.221428
2003,1147,M,85,0.327354
